entry_id,title,batch_id,candidate_webp,final_webp,old_final_webp_bytes,new_final_webp_bytes,status
I-30,Notion MCP,semantic-regen-018,assets/ponchi/final_candidates/semantic-regen-018/I-30_candidate.webp,assets/ponchi/final/I-30.webp,94774,472524,promoted
I-41,SQLite MCP,semantic-regen-018,assets/ponchi/final_candidates/semantic-regen-018/I-41_candidate.webp,assets/ponchi/final/I-41.webp,107888,424022,promoted
I-50,AWS MCP,semantic-regen-018,assets/ponchi/final_candidates/semantic-regen-018/I-50_candidate.webp,assets/ponchi/final/I-50.webp,114288,49284,promoted
I-20,Playwright MCP,semantic-regen-019,assets/ponchi/final_candidates/semantic-regen-019/I-20_candidate.webp,assets/ponchi/final/I-20.webp,89274,48826,promoted
I-21,Puppeteer MCP,semantic-regen-019,assets/ponchi/final_candidates/semantic-regen-019/I-21_candidate.webp,assets/ponchi/final/I-21.webp,75980,479030,promoted
I-22,Chrome DevTools MCP,semantic-regen-019,assets/ponchi/final_candidates/semantic-regen-019/I-22_candidate.webp,assets/ponchi/final/I-22.webp,88532,448242,promoted
J-1,AGI,semantic-regen-020,assets/ponchi/final_candidates/semantic-regen-020/J-1_candidate.webp,assets/ponchi/final/J-1.webp,95920,572600,promoted
J-2,強い AI／弱い AI,semantic-regen-020,assets/ponchi/final_candidates/semantic-regen-020/J-2_candidate.webp,assets/ponchi/final/J-2.webp,98110,504450,promoted
J-3,Singularity,semantic-regen-020,assets/ponchi/final_candidates/semantic-regen-020/J-3_candidate.webp,assets/ponchi/final/J-3.webp,107698,491644,promoted
J-4,ASI,semantic-regen-020,assets/ponchi/final_candidates/semantic-regen-020/J-4_candidate.webp,assets/ponchi/final/J-4.webp,101122,474484,promoted
J-10,Machine Learning,semantic-regen-020,assets/ponchi/final_candidates/semantic-regen-020/J-10_candidate.webp,assets/ponchi/final/J-10.webp,100026,471544,promoted
J-11,Deep Learning,semantic-regen-020,assets/ponchi/final_candidates/semantic-regen-020/J-11_candidate.webp,assets/ponchi/final/J-11.webp,126160,52554,promoted
J-12,Neural Network,semantic-regen-020,assets/ponchi/final_candidates/semantic-regen-020/J-12_candidate.webp,assets/ponchi/final/J-12.webp,93950,38798,promoted
J-13,Transformer,semantic-regen-020,assets/ponchi/final_candidates/semantic-regen-020/J-13_candidate.webp,assets/ponchi/final/J-13.webp,107600,489210,promoted
J-14,LLM,semantic-regen-020,assets/ponchi/final_candidates/semantic-regen-020/J-14_candidate.webp,assets/ponchi/final/J-14.webp,97536,441348,promoted
J-15,VLM,semantic-regen-020,assets/ponchi/final_candidates/semantic-regen-020/J-15_candidate.webp,assets/ponchi/final/J-15.webp,105270,431530,promoted
J-16,Fine-tuning,semantic-regen-021,assets/ponchi/final_candidates/semantic-regen-021/J-16_candidate.webp,assets/ponchi/final/J-16.webp,114898,522416,promoted
J-17,Attention,semantic-regen-021,assets/ponchi/final_candidates/semantic-regen-021/J-17_candidate.webp,assets/ponchi/final/J-17.webp,93148,27104,promoted
J-18,MoE,semantic-regen-021,assets/ponchi/final_candidates/semantic-regen-021/J-18_candidate.webp,assets/ponchi/final/J-18.webp,84982,419380,promoted
J-19,量子化,semantic-regen-021,assets/ponchi/final_candidates/semantic-regen-021/J-19_candidate.webp,assets/ponchi/final/J-19.webp,87056,42418,promoted
J-20,Big Data,semantic-regen-021,assets/ponchi/final_candidates/semantic-regen-021/J-20_candidate.webp,assets/ponchi/final/J-20.webp,122120,636438,promoted
J-21,LoRA,semantic-regen-021,assets/ponchi/final_candidates/semantic-regen-021/J-21_candidate.webp,assets/ponchi/final/J-21.webp,81232,509780,promoted
J-22,パラメータ数の単位,semantic-regen-021,assets/ponchi/final_candidates/semantic-regen-021/J-22_candidate.webp,assets/ponchi/final/J-22.webp,98716,44406,promoted
J-23,拡散モデル,semantic-regen-021,assets/ponchi/final_candidates/semantic-regen-021/J-23_candidate.webp,assets/ponchi/final/J-23.webp,56450,603028,promoted
J-31,第 5 世代コンピュータ,semantic-regen-022,assets/ponchi/final_candidates/semantic-regen-022/J-31_candidate.webp,assets/ponchi/final/J-31.webp,120738,605530,promoted
J-32,ノイマン型,semantic-regen-022,assets/ponchi/final_candidates/semantic-regen-022/J-32_candidate.webp,assets/ponchi/final/J-32.webp,82372,422188,promoted
J-33,量子コンピュータ,semantic-regen-022,assets/ponchi/final_candidates/semantic-regen-022/J-33_candidate.webp,assets/ponchi/final/J-33.webp,104786,534552,promoted
J-40,IoT,semantic-regen-022,assets/ponchi/final_candidates/semantic-regen-022/J-40_candidate.webp,assets/ponchi/final/J-40.webp,98492,482364,promoted
J-41,DX,semantic-regen-022,assets/ponchi/final_candidates/semantic-regen-022/J-41_candidate.webp,assets/ponchi/final/J-41.webp,112538,53580,promoted
J-42,Web3,semantic-regen-022,assets/ponchi/final_candidates/semantic-regen-022/J-42_candidate.webp,assets/ponchi/final/J-42.webp,45802,490160,promoted
J-43,SaaS,semantic-regen-022,assets/ponchi/final_candidates/semantic-regen-022/J-43_candidate.webp,assets/ponchi/final/J-43.webp,101470,505254,promoted
J-100,識字（リテラシー）,semantic-regen-022,assets/ponchi/final_candidates/semantic-regen-022/J-100_candidate.webp,assets/ponchi/final/J-100.webp,81610,41018,promoted
J-50,AI 倫理,semantic-regen-023,assets/ponchi/final_candidates/semantic-regen-023/J-50_candidate.webp,assets/ponchi/final/J-50.webp,84752,443548,promoted
J-51,Hallucination,semantic-regen-023,assets/ponchi/final_candidates/semantic-regen-023/J-51_candidate.webp,assets/ponchi/final/J-51.webp,83902,393528,promoted
J-52,Sycophancy,semantic-regen-023,assets/ponchi/final_candidates/semantic-regen-023/J-52_candidate.webp,assets/ponchi/final/J-52.webp,84474,31952,promoted
J-53,著作権法 30 条の 4（日本）,semantic-regen-023,assets/ponchi/final_candidates/semantic-regen-023/J-53_candidate.webp,assets/ponchi/final/J-53.webp,110468,536968,promoted
J-54,ISO/IEC 42001,semantic-regen-023,assets/ponchi/final_candidates/semantic-regen-023/J-54_candidate.webp,assets/ponchi/final/J-54.webp,95906,475880,promoted
J-55,個人情報保護法,semantic-regen-023,assets/ponchi/final_candidates/semantic-regen-023/J-55_candidate.webp,assets/ponchi/final/J-55.webp,96988,482664,promoted
J-56,GDPR,semantic-regen-023,assets/ponchi/final_candidates/semantic-regen-023/J-56_candidate.webp,assets/ponchi/final/J-56.webp,100012,57514,promoted
J-62,チューリングテスト,semantic-regen-023,assets/ponchi/final_candidates/semantic-regen-023/J-62_candidate.webp,assets/ponchi/final/J-62.webp,73850,416054,promoted
J-90,GUI,semantic-regen-024,assets/ponchi/final_candidates/semantic-regen-024/J-90_candidate.webp,assets/ponchi/final/J-90.webp,78896,460456,promoted
J-92,Linux,semantic-regen-024,assets/ponchi/final_candidates/semantic-regen-024/J-92_candidate.webp,assets/ponchi/final/J-92.webp,65370,60250,promoted
J-93,Ubuntu,semantic-regen-024,assets/ponchi/final_candidates/semantic-regen-024/J-93_candidate.webp,assets/ponchi/final/J-93.webp,81134,433788,promoted
