entry_id,title,category,subtype,path,score,band,flags,review_reasons,recommended_action,logo_need,logo_status,official_asset,official_asset_context,known_padding_2to1,central_padding_shape,sparse_diagram,color_status,off_palette_ratio,file_size_kb,part_color,part_luma,part_saturation,part_contrast,part_edge,part_ink,part_aspect,luma,saturation,contrast,edge_density,ink_ratio,bbox_coverage,bbox_width_ratio,bbox_height_ratio,margin_balance
I-21,Puppeteer MCP,mcp,dev_automation,assets/ponchi/final/I-21.webp,93,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.007590,467.8,98,97,99,89,72,100,100,245.956,0.01105,12.283,0.05013,0.25488,0.39171,0.98958,0.39583,0.98958
I-22,Chrome DevTools MCP,mcp,dev_automation,assets/ponchi/final/I-22.webp,92,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.009794,437.7,100,99,100,93,76,87,100,244.959,0.01321,13.057,0.05349,0.31000,0.45410,0.96875,0.46875,0.98958
I-23,Serena MCP,mcp,dev_automation,assets/ponchi/final/I-23.webp,89,high,線密度,線密度,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.006196,478.9,98,97,98,86,60,94,100,246.234,0.00864,11.680,0.03841,0.27908,0.43294,0.98958,0.43750,0.98958
I-24,Context7 MCP,mcp,dev_automation,assets/ponchi/final/I-24.webp,96,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.005357,447.2,97,97,100,88,99,96,100,243.231,0.01350,16.915,0.07769,0.23253,0.42263,0.98958,0.42708,0.98958
I-30,Notion MCP,mcp,collab,assets/ponchi/final/I-30.webp,87,high,線密度,線密度,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.003789,461.4,95,94,98,80,61,89,100,247.621,0.00885,10.460,0.03939,0.20237,0.39583,1.00000,0.39583,1.00000
I-41,SQLite MCP,mcp,data,assets/ponchi/final/I-41.webp,94,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.007959,414.1,99,98,100,95,75,96,100,245.547,0.01308,13.398,0.05295,0.23546,0.40799,0.97917,0.41667,1.00000
I-50,AWS MCP,mcp,cloud,assets/ponchi/final/I-50.webp,91,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.000000,48.1,96,96,99,87,70,97,100,246.767,0.01504,11.904,0.04763,0.24143,0.48958,1.00000,0.48958,1.00000
I-80,自作 MCP のテンプレ,mcp,diy,assets/ponchi/final/I-80.webp,97,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.007119,464.0,99,99,100,96,93,97,100,244.367,0.01270,15.361,0.06934,0.24067,0.36458,1.00000,0.36458,1.00000
I-81,MCP の登録・設定,mcp,diy,assets/ponchi/final/I-81.webp,97,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.009056,404.1,99,99,99,93,92,97,100,244.028,0.01027,15.930,0.06890,0.23796,0.39171,0.98958,0.39583,0.98958
J-1,AGI,term_general,ai_concept,assets/ponchi/final/J-1.webp,87,high,線密度,線密度,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.007246,559.2,99,100,98,100,32,93,100,244.663,0.01669,14.466,0.14095,0.22320,0.47938,0.97917,0.48958,0.97917
J-2,強い AI／弱い AI,term_general,ai_concept,assets/ponchi/final/J-2.webp,96,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.006827,492.6,99,100,98,96,84,98,100,244.657,0.01833,13.638,0.09201,0.26356,0.45920,0.95833,0.47917,1.00000
J-3,Singularity,term_general,ai_concept,assets/ponchi/final/J-3.webp,84,mid,濃淡,濃淡,visual_review,not_needed,logo_avoid,,no,no,no,no,pass,0.004147,480.1,92,90,98,67,79,76,100,249.548,0.00891,7.954,0.05642,0.14247,0.36936,0.95833,0.38542,1.00000
J-4,ASI,term_general,ai_concept,assets/ponchi/final/J-4.webp,93,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.007559,463.4,99,98,99,99,76,86,100,245.627,0.01134,14.223,0.09885,0.18978,0.44878,0.91667,0.48958,1.00000
J-10,Machine Learning,term_general,ml_basic,assets/ponchi/final/J-10.webp,92,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.006717,460.5,97,96,100,90,78,88,100,246.518,0.01215,12.382,0.09744,0.19813,0.40039,0.93750,0.42708,0.97917
J-11,Deep Learning,term_general,ml_basic,assets/ponchi/final/J-11.webp,90,high,線密度,線密度,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.000000,51.3,97,96,96,84,62,97,100,242.792,0.02225,17.695,0.11220,0.26714,0.41927,0.95833,0.43750,1.00000
J-12,Neural Network,term_general,ml_basic,assets/ponchi/final/J-12.webp,88,high,線密度,線密度,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.000000,37.9,96,95,98,89,59,87,100,247.032,0.01798,12.253,0.11534,0.19412,0.43446,0.94792,0.45833,0.98958
J-13,Transformer,term_general,ml_basic,assets/ponchi/final/J-13.webp,99,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.006533,477.7,100,100,100,99,93,99,100,244.662,0.01383,14.672,0.08257,0.24978,0.42459,0.94792,0.44792,0.98958
J-14,LLM,term_general,ml_basic,assets/ponchi/final/J-14.webp,91,high,線密度,線密度,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.006979,431.0,97,97,100,94,66,90,100,243.312,0.01316,15.593,0.10883,0.29905,0.41016,0.93750,0.43750,0.97917
J-15,VLM,term_general,ml_basic,assets/ponchi/final/J-15.webp,96,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.002338,421.4,98,97,100,94,94,91,100,246.064,0.01265,13.342,0.07107,0.21105,0.39779,0.97917,0.40625,1.00000
J-16,Fine-tuning,term_general,ml_basic,assets/ponchi/final/J-16.webp,99,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.006823,510.2,99,99,99,97,99,100,100,245.204,0.01610,13.797,0.07530,0.25271,0.40929,0.95833,0.42708,1.00000
J-17,Attention,term_general,ml_basic,assets/ponchi/final/J-17.webp,86,high,線密度,線密度,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.000000,26.5,93,92,100,76,65,86,100,248.761,0.01261,9.688,0.04286,0.18902,0.41059,0.91667,0.44792,0.95833
J-18,MoE,term_general,ml_basic,assets/ponchi/final/J-18.webp,81,mid,濃淡;線密度,濃淡;線密度,visual_review,not_needed,logo_avoid,,no,no,no,no,pass,0.006860,409.6,92,91,97,67,57,80,100,249.457,0.00738,7.877,0.03581,0.16146,0.35699,0.97917,0.36458,1.00000
J-19,量子化,term_general,ml_basic,assets/ponchi/final/J-19.webp,88,high,線密度,線密度,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.000000,41.4,96,95,92,78,59,98,100,242.251,0.03022,18.902,0.11545,0.24208,0.43924,0.95833,0.45833,0.97917
J-20,Big Data,term_general,data_learning,assets/ponchi/final/J-20.webp,91,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.008961,621.5,97,96,97,92,77,88,100,242.864,0.01921,16.026,0.09852,0.30686,0.44325,0.98958,0.44792,0.98958
J-21,LoRA,term_general,data_learning,assets/ponchi/final/J-21.webp,92,high,線密度,線密度,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.004995,497.8,97,96,98,87,68,100,100,246.473,0.00899,11.940,0.04633,0.25358,0.41819,0.97917,0.42708,1.00000
J-22,パラメータ数の単位,term_general,data_learning,assets/ponchi/final/J-22.webp,94,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.000000,43.4,96,96,94,89,91,93,100,242.782,0.02642,16.753,0.08518,0.28635,0.43924,0.95833,0.45833,0.97917
J-23,拡散モデル,term_general,data_learning,assets/ponchi/final/J-23.webp,96,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.008640,588.9,98,97,97,93,97,94,100,243.358,0.02073,15.942,0.07357,0.28179,0.38759,0.97917,0.39583,1.00000
J-31,第 5 世代コンピュータ,term_general,computing_history,assets/ponchi/final/J-31.webp,87,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.007000,591.3,92,91,98,73,80,85,100,239.890,0.01651,19.822,0.09505,0.32237,0.42708,1.00000,0.42708,1.00000
J-32,ノイマン型,term_general,computing_history,assets/ponchi/final/J-32.webp,97,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.006746,412.3,100,100,100,98,90,95,100,244.847,0.01358,14.039,0.06673,0.27300,0.42459,0.94792,0.44792,0.98958
J-33,量子コンピュータ,term_general,computing_history,assets/ponchi/final/J-33.webp,94,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.008930,522.0,98,98,99,95,78,96,100,243.548,0.01449,15.409,0.09755,0.27203,0.44878,0.97917,0.45833,1.00000
J-40,IoT,term_general,buzzword,assets/ponchi/final/J-40.webp,91,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.005643,471.1,95,94,99,82,91,83,100,247.905,0.01094,10.782,0.06793,0.17839,0.41374,0.96875,0.42708,0.98958
J-41,DX,term_general,buzzword,assets/ponchi/final/J-41.webp,96,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.000000,52.3,99,100,98,99,85,93,100,244.638,0.01809,14.331,0.09028,0.28602,0.43750,1.00000,0.43750,1.00000
J-42,Web3,term_general,buzzword,assets/ponchi/final/J-42.webp,92,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.005959,478.7,95,94,98,81,93,88,100,247.560,0.00897,10.746,0.06966,0.20009,0.42839,0.97917,0.43750,1.00000
J-43,SaaS,term_general,buzzword,assets/ponchi/final/J-43.webp,92,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.006770,493.4,99,99,98,93,72,92,100,245.246,0.00941,13.153,0.05002,0.28765,0.44878,0.97917,0.45833,1.00000
J-50,AI 倫理,term_general,ethics_law,assets/ponchi/final/J-50.webp,90,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.003255,433.2,97,96,97,84,71,93,100,246.588,0.00595,11.332,0.04905,0.28570,0.37739,0.97917,0.38542,1.00000
J-51,Hallucination,term_general,ethics_law,assets/ponchi/final/J-51.webp,85,high,線密度,線密度,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.008234,384.3,93,92,97,74,56,91,100,248.702,0.00741,9.185,0.03505,0.21126,0.50000,1.00000,0.50000,1.00000
J-52,Sycophancy,term_general,ethics_law,assets/ponchi/final/J-52.webp,87,high,線密度,線密度,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.000000,31.2,94,92,100,76,69,90,100,248.581,0.01215,9.703,0.04677,0.20747,0.42925,0.95833,0.44792,1.00000
J-53,著作権法 30 条の 4（日本）,term_general,ethics_law,assets/ponchi/final/J-53.webp,97,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.006553,524.4,98,99,98,93,93,97,100,244.023,0.00953,15.837,0.08301,0.24132,0.39779,0.97917,0.40625,1.00000
J-54,ISO/IEC 42001,term_general,ethics_law,assets/ponchi/final/J-54.webp,93,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.004120,464.7,98,97,99,87,81,93,100,246.234,0.00991,11.800,0.05838,0.28299,0.42925,0.95833,0.44792,1.00000
J-55,個人情報保護法,term_general,ethics_law,assets/ponchi/final/J-55.webp,92,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.006975,471.4,96,95,97,82,80,97,100,247.218,0.00725,10.848,0.05707,0.24143,0.36936,0.95833,0.38542,1.00000
J-56,GDPR,term_general,ethics_law,assets/ponchi/final/J-56.webp,96,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.000000,56.2,96,96,99,85,100,100,100,246.921,0.01552,11.518,0.07639,0.25217,0.46918,0.97917,0.47917,1.00000
J-62,チューリングテスト,term_general,peripheral,assets/ponchi/final/J-62.webp,91,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.008474,406.3,96,95,98,85,79,90,100,247.198,0.00864,11.456,0.05653,0.20953,0.45898,0.97917,0.46875,1.00000
J-70,VRAM,term_general,hardware,assets/ponchi/final/J-70.webp,80,mid,濃淡;線密度,濃淡;線密度,visual_review,not_needed,logo_avoid,,no,no,no,no,pass,0.009195,486.7,90,89,99,64,43,90,100,239.178,0.01082,21.755,0.13032,0.29579,0.44325,0.98958,0.44792,0.98958
J-71,RAM,term_general,hardware,assets/ponchi/final/J-71.webp,83,mid,線密度,線密度,visual_review,not_needed,logo_avoid,,no,no,no,no,pass,0.006465,524.7,93,92,97,74,42,92,100,240.623,0.00676,19.577,0.13118,0.28678,0.44401,0.96875,0.45833,0.98958
J-72,H100,term_general,hardware,assets/ponchi/final/J-72.webp,57,low,色味;明るさ;濃淡;線密度;外れ値,色味;明るさ;濃淡;線密度;外れ値,full_regen_review,not_needed,logo_avoid,,no,no,no,no,pass,0.009260,748.4,71,67,97,0,9,78,100,227.966,0.01874,35.731,0.16276,0.35373,0.45898,0.97917,0.46875,1.00000
J-73,Blackwell,term_general,hardware,assets/ponchi/final/J-73.webp,75,mid,濃淡;線密度,濃淡;線密度,visual_review,not_needed,logo_avoid,,no,no,no,no,pass,0.008504,698.6,88,86,98,57,27,84,100,237.698,0.01776,23.133,0.14594,0.32411,0.47917,1.00000,0.47917,1.00000
J-74,RTX シリーズ,term_general,hardware,assets/ponchi/final/J-74.webp,78,mid,濃淡;線密度,濃淡;線密度,visual_review,not_needed,logo_avoid,,no,no,no,no,pass,0.007509,639.9,85,83,99,43,58,88,100,235.883,0.01039,25.801,0.11589,0.30556,0.46918,0.97917,0.47917,1.00000
J-75,Tensor コア,term_general,hardware,assets/ponchi/final/J-75.webp,92,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.008312,540.5,97,97,100,96,81,82,100,243.081,0.01226,15.260,0.05794,0.33236,0.44922,0.95833,0.46875,1.00000
J-76,CPU,term_general,hardware,assets/ponchi/final/J-76.webp,88,high,線密度,線密度,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.000000,40.5,95,95,98,82,64,90,100,241.884,0.01662,18.011,0.11013,0.29763,0.45898,0.97917,0.46875,1.00000
J-77,GPU (概念),term_general,hardware,assets/ponchi/final/J-77.webp,95,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.008956,449.9,99,99,98,94,85,96,100,245.266,0.00797,13.356,0.06174,0.27203,0.45356,0.98958,0.45833,0.98958
J-78,HDD,term_general,hardware,assets/ponchi/final/J-78.webp,72,mid,濃淡;線密度,濃淡;線密度,visual_review,not_needed,logo_avoid,,no,no,no,no,pass,0.000000,47.7,85,83,93,48,38,76,100,235.979,0.02956,24.815,0.13498,0.36198,0.47917,1.00000,0.47917,1.00000
J-79,SSD,term_general,hardware,assets/ponchi/final/J-79.webp,89,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.000000,69.3,94,94,94,86,85,81,100,241.500,0.02730,17.208,0.09060,0.34017,0.47418,0.98958,0.47917,0.98958
J-80,SATA,term_general,hardware,assets/ponchi/final/J-80.webp,66,low,濃淡;線密度;外れ値,濃淡;線密度;外れ値,full_regen_review,not_needed,logo_avoid,,no,no,no,no,pass,0.000000,35.9,82,79,85,24,18,87,100,233.979,0.04553,29.659,0.15451,0.31120,0.47917,1.00000,0.47917,1.00000
J-81,M.2,term_general,hardware,assets/ponchi/final/J-81.webp,58,low,濃淡;線密度;外れ値,濃淡;線密度;外れ値;known_padding_2to1,composition_regen_review,not_needed,logo_avoid,,no,yes,no,no,pass,0.000000,51.5,76,73,87,9,0,82,100,230.654,0.04107,32.758,0.18967,0.33464,0.47917,1.00000,0.47917,1.00000
J-90,GUI,term_general,ui_os,assets/ponchi/final/J-90.webp,93,high,,known_padding_2to1,composition_regen_review,not_needed,logo_avoid,,no,yes,no,no,pass,0.009136,449.7,96,96,99,87,82,95,100,242.538,0.01210,17.029,0.05914,0.27311,0.44401,0.96875,0.45833,0.98958
J-91,CLI,term_general,ui_os,assets/ponchi/final/J-91.webp,94,high,,known_padding_2to1,composition_regen_review,not_needed,logo_avoid,,no,yes,no,no,pass,0.007330,374.1,98,100,96,97,71,97,100,244.485,0.00410,15.034,0.04861,0.23817,0.42263,0.98958,0.42708,0.98958
J-92,Linux,term_general,ui_os,assets/ponchi/final/J-92.webp,88,high,余白,余白;known_padding_2to1,composition_regen_review,not_needed,logo_avoid,,no,yes,no,no,pass,0.000000,58.8,96,95,93,98,83,67,100,242.308,0.02777,14.833,0.09288,0.40224,0.48958,1.00000,0.48958,1.00000
J-93,Ubuntu,term_general,ui_os,assets/ponchi/final/J-93.webp,94,high,,known_padding_2to1,composition_regen_review,not_needed,logo_avoid,,no,yes,no,no,pass,0.006349,423.6,97,96,98,88,88,93,100,246.712,0.00837,12.000,0.06500,0.22135,0.38704,0.90625,0.42708,0.96875
J-100,識字（リテラシー）,term_general,concept,assets/ponchi/final/J-100.webp,97,high,,known_padding_2to1,composition_regen_review,not_needed,logo_avoid,,no,yes,no,no,pass,0.000000,40.1,98,98,97,90,97,98,100,243.781,0.01917,16.463,0.07932,0.24457,0.41819,0.97917,0.42708,1.00000
