"visible_rank","decision","priority","entry_id","title","file_size_kb","score","current_action","reasons","regen_type","target_brief","human_note"
"18","regen_user_ng_visible","P1","A-7","図のタイプ","18.5","85","light_review","濃淡","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"19","regen_user_ng_visible","P1","J-41","DX","18.5","91","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"20","regen_user_ng_visible","P0","J-90","GUI","18.5","94","composition_regen_review","known_padding_2to1","composition_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"21","regen_user_ng_visible","P1","J-32","ノイマン型","18.9","92","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"22","regen_user_ng_visible","P1","I-24","Context7 MCP","19.0","92","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"23","regen_user_ng_visible","P1","I-80","自作 MCP のテンプレ","19.0","85","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"24","regen_user_ng_visible","P1","J-2","強い AI／弱い AI","19.1","92","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"25","regen_user_ng_visible","P1","J-72","H100","19.1","95","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"26","regen_user_ng_visible","P1","J-1","AGI","19.8","91","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"27","regen_user_ng_visible","P1","A-1","まえがき","20.0","87","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"28","regen_user_ng_visible","P1","I-10","Filesystem MCP","20.0","95","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"29","regen_user_ng_visible","P1","J-16","Fine-tuning","20.0","91","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"30","regen_user_ng_visible","P1","J-77","GPU (概念)","20.3","96","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"31","regen_user_ng_visible","P1","A-8","色・記号の凡例","20.4","82","visual_review","濃淡","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"32","regen_user_ng_visible","P1","J-55","個人情報保護法","20.9","89","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"33","regen_user_ng_visible","P1","J-79","SSD","20.9","96","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"34","regen_user_ng_visible","P0","I-4","MCP Transport","21.0","90","composition_regen_review","線密度;known_padding_2to1","composition_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"35","regen_user_ng_visible","P1","J-31","第 5 世代コンピュータ","21.3","93","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"36","regen_user_ng_visible","P1","I-30","Notion MCP","21.5","94","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"37","regen_user_ng_visible","P1","J-51","Hallucination","21.7","88","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"38","regen_user_ng_visible","P0","I-3","MCP Client","21.9","97","composition_regen_review","known_padding_2to1","composition_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"39","regen_user_ng_visible","P1","A-11","略称表記","22.2","89","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"40","regen_user_ng_visible","P1","J-75","Tensor コア","22.2","86","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"41","regen_user_ng_visible","P1","J-76","CPU","22.4","91","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"42","regen_user_ng_visible","P1","A-5","読者レベルの凡例","22.5","85","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"43","regen_user_ng_visible","P1","I-1","MCP","23.1","95","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"44","regen_user_ng_visible","P1","J-74","RTX シリーズ","23.2","91","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"45","regen_user_ng_visible","P1","J-18","MoE","23.3","88","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"46","regen_user_ng_visible","P1","J-71","RAM","23.5","94","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"47","regen_user_ng_visible","P1","A-3","図鑑の歩き方","24.1","79","visual_review","濃淡;線密度;余白","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"48","regen_user_ng_visible","P0","B-6","Windsurf","24.1","93","sparse_diagram_review","sparse_logo_diagram","richer_scene_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"49","regen_user_ng_visible","P1","I-20","Playwright MCP","24.1","97","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"50","regen_user_ng_visible","P1","A-6","評価日・時変情報の見方","24.4","83","visual_review","濃淡","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"51","regen_user_ng_visible","P0","I-2","MCP Server","24.5","92","composition_regen_review","known_padding_2to1","composition_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"52","regen_user_ng_visible","P1","I-12","Git MCP","24.6","85","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"53","regen_user_ng_visible","P1","H-62","Anthropic 創業の流れ","24.7","92","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"54","regen_user_ng_visible","P1","J-3","Singularity","24.7","89","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"55","regen_user_ng_visible","P1","I-11","GitHub MCP","24.9","93","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"56","regen_user_ng_visible","P2","J-13","Transformer","25.1","87","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"57","regen_user_ng_visible","P2","A-10","更新履歴と更新方針","25.2","85","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"58","regen_user_ng_visible","P2","J-10","Machine Learning","25.2","92","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"59","regen_user_ng_visible","P2","H-50","Bard → Gemini","25.6","92","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"60","regen_user_ng_visible","P2","I-81","MCP の登録・設定","25.8","94","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"61","regen_user_ng_visible","P2","J-15","VLM","26.0","90","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"62","regen_user_ng_visible","P2","I-41","SQLite MCP","26.2","92","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"63","regen_user_ng_visible","P2","I-13","Slack MCP","26.3","94","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"64","regen_user_ng_visible","P2","H-63","Vibe Coding 命名","26.5","92","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"65","regen_user_ng_visible","P0","J-100","識字（リテラシー）","26.6","89","composition_regen_review","known_padding_2to1","composition_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"66","regen_user_ng_visible","P2","J-53","著作権法 30 条の 4（日本）","26.9","93","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"67","regen_user_ng_visible","P2","A-4","体験区分の凡例","27.1","96","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"68","regen_user_ng_visible","P2","I-50","AWS MCP","27.5","93","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"69","regen_user_ng_visible","P2","I-23","Serena MCP","27.7","95","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"70","regen_user_ng_visible","P2","A-2","この本の読み方","28.6","88","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"71","regen_user_ng_visible","P2","J-33","量子コンピュータ","29.5","91","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"72","regen_user_ng_visible","P2","B-9","v0","30.0","81","visual_review","濃淡;線密度;color_review;official_asset_color_context","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"73","regen_user_ng_visible","P2","J-54","ISO/IEC 42001","30.1","89","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"74","regen_user_ng_visible","P0","B-4","Cursor","30.5","95","composition_regen_review","known_padding_2to1;sparse_logo_diagram","composition_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"75","regen_user_ng_visible","P2","B-1","Gemini","30.8","97","official_overlay_color_review","color_fail;official_asset_color_context;sparse_logo_diagram","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"76","regen_user_ng_visible","P0","B-7","Claude Code","31.6","95","sparse_diagram_review","color_review;official_asset_color_context;sparse_logo_diagram","richer_scene_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"77","regen_user_ng_visible","P2","J-14","LLM","31.8","93","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"78","regen_user_ng_visible","P2","J-43","SaaS","31.9","92","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"79","regen_user_ng_visible","P0","I-5","MCP SDK","32.0","94","composition_regen_review","known_padding_2to1","composition_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"80","regen_user_ng_visible","P2","D-51","Imagen","32.2","94","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"81","regen_user_ng_visible","P0","B-5","GitHub Copilot","32.5","96","sparse_diagram_review","color_review;official_asset_color_context;sparse_logo_diagram","richer_scene_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"82","regen_user_ng_visible","P2","A-9","索引","32.9","91","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"83","regen_user_ng_visible","P2","J-20","Big Data","32.9","93","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"84","regen_user_ng_visible","P2","D-60","AlphaGo","33.2","93","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"85","regen_user_ng_visible","P2","J-40","IoT","34.1","91","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"86","regen_user_ng_visible","P0","B-2","Claude","34.5","95","composition_regen_review","known_padding_2to1;color_review;official_asset_color_context;sparse_logo_diagram","composition_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"87","keep_user_ok","KEEP","G-32","Slash Command","34.5","94","light_review","","","user accepted as reference",""
"88","regen_user_ng_visible","P2","J-11","Deep Learning","34.9","90","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"89","regen_user_ng_visible","P3","B-8","Codex","35.0","91","light_review","線密度;color_review;official_asset_color_context","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"90","regen_user_ng_visible","P3","J-78","HDD","35.5","89","light_review","線密度","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"91","keep_user_ok","KEEP","G-47","Auto-compact","36.1","96","light_review","","","user accepted as reference",""
"92","keep_user_ok","KEEP","B-30","Amazon Bedrock","38.0","91","official_overlay_color_review","color_fail;official_asset_color_context","","user accepted as reference",""
"93","regen_user_ng_visible","P0","B-3","ChatGPT","39.4","87","composition_regen_review","線密度;known_padding_2to1","composition_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"94","keep_user_ok","KEEP","H-4","コードレビュー","39.6","97","light_review","","","user accepted as reference",""
"95","regen_user_ng_visible","P3","J-17","Attention","39.7","90","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"96","keep_user_ok","KEEP","H-52","Copilot から Claude Code までの流れ","40.9","90","light_review","線密度","","user accepted as reference",""
"97","keep_user_ok","KEEP","G-31","Hook","41.1","95","light_review","","","user accepted as reference",""
"98","keep_user_ok","KEEP","G-40","バイブコーディング","42.1","93","light_review","","","user accepted as reference",""
"99","keep_user_ok","KEEP","G-38","Plan Mode","42.5","92","light_review","","","user accepted as reference",""
"100","regen_user_ng_visible","P3","B-28","Render","43.3","95","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
