priority,chapter,blind_image_id,entry_id,title,semantic_decision,top1_guess,top1_guess_raw,top1_confidence,top2_guess,top3_guess,confused_with,semantic_comment
P2,B,B-Q008,B-7,Claude Code,ambiguous,B-8,Codex,50,B-7,B-4,Claude Code; Cursor,Coding agent interface is plausible but visually generic.
P2,B,B-Q038,B-8,Codex,ambiguous,B-7,Claude Code,55,B-4,B-8,Cursor; Codex,Coding assistant screen is generic; no concrete brand marker.
P2,D,D-Q010,D-12,Claude 4 系,ambiguous,D-10,D-10,48,D-11,D-12,D-11|D-12,Claude is clear; version is ambiguous.
P2,D,D-Q014,D-20,GPT-5 系,ambiguous,D-21,D-21,42,D-20,D-23,D-20|D-23|D-24,OpenAI LLM is clear; version is not.
P2,D,D-Q028,D-21,GPT-4 系,ambiguous,D-22,D-22,52,D-23,D-21,D-23|D-21,"Reasoning cue helps, but exact o-series member is uncertain."
P2,D,D-Q022,D-3,Gemini 3 系,ambiguous,D-1,D-1,36,D-2,D-3,D-2|D-3|D-4,Generic Gemini visual; exact version is weak.
P2,D,D-Q011,D-4,Gemini 3.1 系,ambiguous,D-3,D-3,38,D-2,D-4,D-2|D-4|D-1,Very generic Gemini model diagram.
P2,D,D-Q015,D-57,Flow,ambiguous,D-53,D-53,78,D-56,D-57,D-56|D-57,Video model semantics are clear; brand/version moderately clear.
P3,B,B-Q018,B-18,Aqua Voice,weak_but_identifiable,B-18,Aqua Voice,67,B-13,B-60,ElevenLabs; Suno,Voice-input workflow fits Aqua Voice more than TTS or music.
P3,B,B-Q002,B-19,Claude Cowork,weak_but_identifiable,B-19,Claude Cowork,55,B-2,B-7,Claude; Microsoft 365 Copilot,Coworking scene is clearer than a single assistant but still not distinctive.
P3,B,B-Q015,B-30,Amazon Bedrock,weak_but_identifiable,B-30,Amazon Bedrock,62,B-23,B-26,AWS; Azure OpenAI,Managed foundation-model routing is Bedrock-like but logo is not fully clear.
P3,B,B-Q032,B-9,v0,weak_but_identifiable,B-9,v0,58,B-32,B-33,Figma; Canva,App UI generation is likely v0 but lacks explicit Vercel/v0 mark.
P3,D,D-Q003,D-2,Gemini 2.5 系,weak_but_identifiable,D-2,D-2,42,D-1,D-3,D-1|D-3|D-4,Generic Gemini dashboard; exact version is weak.
P3,D,D-Q033,D-23,o3 系,weak_but_identifiable,D-23,D-23,56,D-20,D-22,D-20|D-22,"Reasoning/eval visual supports o3, but OpenAI model versions remain confusable."
P3,D,D-Q017,D-24,GPT-3 系,weak_but_identifiable,D-24,D-24,45,D-21,D-25,D-21|D-25,OpenAI LLM obvious; exact historical generation uncertain.
P3,D,D-Q030,D-26,gpt-oss,weak_but_identifiable,D-26,D-26,60,D-20,D-21,D-20|D-21,Open/deployment cue is useful but not definitive.
P3,D,D-Q036,D-55,Nano Banana,weak_but_identifiable,D-55,D-55,62,D-51,D-58,D-51|D-58,Image model is clear; Nano Banana specifically is moderate confidence.
P3,D,D-Q021,D-56,Seedance,weak_but_identifiable,D-56,D-56,48,D-52,D-53,D-52|D-53,"Communicates video generation, not a distinctive product."
