blind_image_id,top1_guess,top1_confidence,top2_guess,top3_guess,visual_evidence,confused_with,semantic_comment
D-Q017,D-24,45,D-21,D-25,"OpenAI logo with scaling charts, data flow, and many user icons fits GPT-3-style scale/adoption framing.","D-21|D-25","OpenAI LLM obvious; exact historical generation uncertain."
D-Q018,D-57,76,D-53,D-56,"Storyboard grids, video thumbnails, and a flow-like black logo point to Flow.","D-53|D-56","Video/story workflow is fairly specific."
D-Q019,D-30,94,D-20,D-43,"xAI logo is prominent next to model cards and evaluation diagrams.","D-20|D-43","Strong brand evidence for Grok."
D-Q020,D-20,38,D-23,D-21,"OpenAI logo with a large integrated multi-tool/model dashboard suggests the newest GPT family.","D-23|D-21","Mostly generic OpenAI model imagery; low exact-version confidence."
D-Q021,D-56,48,D-52,D-53,"Video timeline, frame strips, and editing/generation UI suggest a video-generation model, with no clear logo.","D-52|D-53","Communicates video generation, not a distinctive product."
D-Q022,D-1,36,D-2,D-3,"Gemini star with central model hub and server/output panels suggests a baseline Gemini family diagram.","D-2|D-3|D-4","Generic Gemini visual; exact version is weak."
D-Q023,D-47,88,D-46,D-43,"DeepSeek logo plus question marks, reasoning tree, search path, and final checkmark strongly indicate R1.","D-46|D-43","Reasoning visual makes this one comparatively clear."
D-Q024,D-12,42,D-13,D-11,"Claude logo with tool, team, code, and agent pipeline panels suggests Claude 4-style agentic capability.","D-13|D-11","Claude clear; version assignment is tentative."
D-Q025,D-70,34,D-50,D-58,"Generic AI solution dashboard with people, robot assistant, image boards, and approval panels lacks a strong model logo.","D-50|D-58","Weak semantic signal; could be several image/AI-solution entries."
D-Q026,D-13,41,D-12,D-14,"Claude logo with upgraded model cards, benchmark chain, and progress/eval panels suggests Claude 4.5.","D-12|D-14|D-11","Brand clear; exact Claude version is weak."
D-Q027,D-43,95,D-45,D-41,"Qwen logo is prominent above model and code/data panels.","D-45|D-41","Strong brand evidence."
D-Q028,D-22,52,D-23,D-21,"OpenAI logo with step cards feeding a central reasoning/AI bubble and gauges suggests o1 reasoning.","D-23|D-21","Reasoning cue helps, but exact o-series member is uncertain."
D-Q029,D-14,32,D-13,D-12,"Claude logo with shield, control panels, and speculative agent dashboard could fit Mythos Preview, but evidence is thin.","D-13|D-12|D-11","Very ambiguous Claude panel."
D-Q030,D-26,60,D-20,D-21,"OpenAI logo with cube/package-like components and modular deployment panels suggests gpt-oss.","D-20|D-21","Open/deployment cue is useful but not definitive."
D-Q031,D-4,36,D-3,D-2,"Gemini star with benchmark/progress tracks and model graph suggests a minor upgraded Gemini generation.","D-3|D-2|D-1","Generic Gemini dashboard; exact 3.1 confidence is low."
D-Q032,D-35,96,D-21,D-20,"Cursor logo with editor panes, composer arrows, and code workflow diagrams clearly indicates Cursor Composer.","D-21|D-20","Strong product/workflow evidence."
D-Q033,D-23,56,D-20,D-22,"OpenAI logo with tree-search reasoning, task icons, and checkmark/evaluation panels suggests o3.","D-20|D-22","Reasoning/eval visual supports o3, but OpenAI model versions remain confusable."
D-Q034,D-51,82,D-55,D-54,"Google DeepMind logo with image grids and generation pipeline points to Imagen.","D-55|D-54","Image-generation semantics and DeepMind branding are strong."
D-Q035,D-54,96,D-51,D-50,"stability.ai logo and diffusion-like image sequence panels clearly identify Stable Diffusion.","D-51|D-50","Strong brand and modality evidence."
D-Q036,D-55,62,D-51,D-58,"Gemini star with image-editing/generation panels and output grids suggests Nano Banana.","D-51|D-58","Image model is clear; Nano Banana specifically is moderate confidence."
D-Q037,D-71,84,D-21,D-24,"OpenAI logo with speech bubbles, audio waveforms, and voice interface panels points to Whisper.","D-21|D-24","Audio/voice cues are concrete."
D-Q038,D-42,72,D-60,D-1,"Google DeepMind logo with open-model/deployment cards and small model panels suggests Gemma rather than a game AI.","D-60|D-1","Brand and open-model styling support Gemma, though DeepMind could confuse with AlphaGo."
